admin/hierarchies,CONFIG_HIERARCHY,TRP TM Hierarchy,Configuration,TRP TM Hierarchy Setting
admin/roles,CONFIG_ROLE,TRP Transportation Role Manager,Configuration,TRP Transportation Role Manager Setting
admin/users,CONFIG_USER,TRP Transportation User Manager,Configuration,TRP Transportation User Manager Setting
admin/zones,CONFIG_ZONE,TRP TM Zone Manager,Configuration,TRP TM Zone Manager Setting
archive/dataManagement,DATA_ARCHIVE,TRP Archive Extend Service,DataArchive,TRP Data Archive Service Logs
archive/rules,DATA_ARCHIVE,TRP Archive Extend Service,DataArchive,TRP Data Archive Service Logs
archive/history,DATA_ARCHIVE,TRP Archive Extend Service,DataArchive,TRP Data Archive Service Logs
availabilitycheck/availabilityCheck,AVAILABILITY_CHECK,TRP availability check,Configuration,TRP availability check Logs
booking/bookinginformation,BOOKING_INFORMATION,Booking Information,Configuration,Booking Information Logs
booking/generate_tm_link,GENERATE_TM_LINK,Generate TM Link,Configuration,Generate TM Link Logs
common/columnextensibilityservice,EXTEND_COLUMN,TRP Column Extend Service,Configuration,TRP Extend Service Logs
common/exportService,EXPORT,TRP Export Service,Export,TRP Export Service Logs
common/job/Job,JOB,Job Service,Configuration,Job Service Logs
costmodel/costCalculation,COST_MODEL,TRP / TM Cost Model,CostModel,TRP / TM Cost Model Logs
costmodel/costdataset,COST_MODEL,TRP /TM Cost Model,CostModel,TRP / TM Cost Model Logs
costmodel/costmodel,COST_MODEL,TRP / TM Cost Model,CostModel,TRP / TM Cost Model Logs
dashboard/kpi,CONFIG_TILE,TRP Dashboard,Configuration,TRP Dashboard Kpi Results
dashboard/tiles,CONFIG_TILE,TRP Dashboard,Configuration,TRP Dashboard Tile Setting
equipment/equipmentinformation,EQUIPMENT_INFORMATION,Equipment Information,Configuration,Equipment Information Logs
equipment/leaseInformation,LEASE_INFORMATION,Lease Information,Configuration,Lease Information Logs
eventprocessing/trackinghistory,EVENT_PROCESSING,TRP Event Processing,Configuration,TRP Event Processing Logs
jobManagement,CONFIG_PLAN,Job Manager,jobManagement,TRP Job Manager Logs
xslib/jobManagement,CONFIG_PLAN,Job Manager,jobManagement,TRP Job Manager Logs
leasecontract/leaseContractMaterializedLoad,LC_MATERIALIZATION,TRP Lease contract materialization,Configuration,TRP Lease Contract Materialization Logs
leasecontract/materializedViewHandler,LC_MATERIALIZATION,TRP Lease contract materialization,Configuration,TRP Lease Contract Materialization Logs
movingstock/activeResourceInformation,MOV_STOCK_ACTIVE_RES,Active Resource Information,MovingStock,Active Resource Information of Moving Stock
movingstock/loadDischargeInformation,MOV_STOCK_LOAD_DISCH,Load Discharge Information,MovingStock,Load Discharge Information of Moving Stock
navigation,NAVIGATION,Navigation,Navigation,Navigation
pickupreturn/locationrules,TM_TRP_PICKUP_RETURN,TRP Location Rules,PickupReturn,TRP Location Rules Logs
pickupreturn/schedulingtrace,TM_TRP_PICKUP_RETURN,TRP Location Assignment Scheduling Trace,PickupReturn,TRP Location Assignment Scheduling Trace Logs
pickupreturn/transportationunits,TM_TRP_PICKUP_RETURN,TRP Transportation Unit Location Assignment,PickupReturn,TRP Transportation Unit Location Assignment Logs
pickupreturn/executor,TM_TRP_PICKUP_RETURN,TRP Transportation Unit Location Assignment,PickupReturn,TRP Transportation Unit Location Assignment Logs
plan/plans,CONFIG_PLAN,TRP Transportation Plan,Configuration,TRP Transportation Plan Setting
plan/executevirtualplan,CONFIG_PLAN,TRP Transportation Plan,Configuration,TRP Transportation Plan Setting
planningcockpit/activities,SIMULATION_PLAN,Simulation Plan,PlanningCockpit,Simulation Plan Logs
