ID;PAGE_ID;NAME;DISPLAY_NAME;DATA_TYPE;LENGTH;SCALE;SEARCHABLE;FILTERABLE;TYPE;CONFIGURABLE;CUSTOM;DEFAULT
1101;101;ORDER_ID;BOK_TRANSPORTATION_UNIT;NVARCHAR;20;0;0;0;0;0;0;1
1102;101;TU_TYPE;BOK_TU_TYPE;NVARCHAR;2;0;1;1;0;0;0;1
1103;101;CUSTOMER_NAME;BOK_CUSTOMER_NAME;NVARCHAR;35;0;1;0;0;1;0;1
1104;101;RESOURCE_TYPE;BOK_RESOURCE_TYPE;NVARCHAR;10;0;1;1;0;0;0;1
1105;101;QUANTITY;BOK_QUANTITY;INTEGER;0;0;0;0;0;1;0;1
1106;101;ASSIGN_QUANTITY;BOK_ASSIGN_RESOURCE;INTEGER;0;0;0;0;0;1;0;1
1107;101;PLANNED_DEPARTURE_TIME;BOK_PLANNED_DEPARTURE_TIME;DATE;0;0;0;0;0;1;0;1
1108;101;SOURCE_LOCATION;BOK_SOURCE_LOCATION;NVARCHAR;20;0;0;0;0;1;0;0
1109;101;PLANNED_ARRIVAL_TIME;PLANNED_ARRIVAL_TIME;DATE;0;0;0;0;0;1;0;1
1110;101;DESTINATION_LOCATION;BOK_DESTINATION_LOCATION;NVARCHAR;20;0;1;0;0;1;0;0
1111;101;SHIPPER;BOK_SHIPPER;NVARCHAR;255;0;1;0;0;1;0;1
1112;101;PORT_OF_LOADING;BOK_PORT_OF_LOADING;NVARCHAR;255;0;0;0;0;1;0;1
1113;101;PORT_OF_DISCHARGE;BOK_PORT_OF_DISCHARGE;NVARCHAR;255;0;1;0;0;1;0;1
1114;101;CONSIGNEE;BOK_CONSIGNEE;NVARCHAR;255;0;0;0;0;1;0;1
1115;101;BOOKING_DATE;BOK_BOOKING_DATE;DATE;0;0;0;0;0;1;0;1
1116;101;HAULAGE_TYPE;BOK_HAULAGE_TYPE;INTEGER;0;0;0;1;0;0;0;1
1117;101;EXECUTION_STATUS;BOK_EXECUTION_STATUS;NVARCHAR;255;0;1;1;0;0;0;1
1118;101;LIFECYCLE_STATUS;BOK_LIFECYCLE_STATUS;NVARCHAR;255;0;0;1;0;0;0;1
1119;101;ACTION;BOK_ACTION;DATE;0;0;0;0;0;0;1;1
1120;101;VESSEL_POD;VESSEL_NAME_FOR_POD;VARCHAR;100;0;0;1;0;1;0;1
1121;101;VOYAGE_POL;VOYAGE_ID_FOR_POL;VARCHAR;100;0;0;1;0;1;0;1
1122;101;VOYAGE_POD;VOYAGE_ID_FOR_POD;VARCHAR;100;0;0;1;0;1;0;1
1123;101;BOOKING_REFERENCE;BOOKING_REFERENCE;VARCHAR;20;0;0;1;0;1;0;1
1124;101;RESOURCE_NUMBER;RESOURCE_NUMBER;VARCHAR;20;0;0;1;0;1;0;1
1125;101;MEANS_OF_TRANSPORTATION;MEANS_OF_TRANSPORT;VARCHAR;60;0;0;1;0;1;0;1
1126;101;CARRIER_POL;CARRIER_POL;VARCHAR;40;0;0;1;0;1;0;1
1127;101;PICKUP_LOCATION_NAME;BOK_PICKUP_LOCATION;VARCHAR;20;0;1;1;0;1;0;1
1128;101;PICKUP_DATE;BOK_PICKUP_DATE;DATE;0;0;0;1;0;1;0;1
1129;101;RETURN_LOCATION_NAME;BOK_RETURN_LOCATION;VARCHAR;20;0;0;1;0;1;0;1
1130;101;RETURN_DATE;BOK_RETURN_DATE;DATE;0;0;0;1;0;1;0;1
1131;101;VESSEL_CUTOFF_UTC;VESSEL_CUTOFF_DATE;TIMESTAMP;0;0;0;0;0;1;0;1
1132;101;VESSEL_POL;VESSEL_NAME_FOR_POL;VARCHAR;100;0;0;1;0;1;0;1
1133;101;LEASE_AGREEMENT;LEASE_AGREEMENT;VARCHAR;20;0;1;1;0;0;0;1
