sap.tm.trp.service::Administrator,E,TRP Administrator Privileges
sap.tm.trp.service::CreateZone,E,Privileges for creating Zone in TM
sap.tm.trp.service::UpdateZone,E,Privileges for updating Zone in TM
sap.tm.trp.service::DeleteZone,E,Privileges for deleting Zone in TM
sap.tm.trp.service::UpdateZoneHierarchy,E,Privileges for updating Zone Hierarchy in TM
sap.tm.trp.service::FinalizeTuData,E,Privilege for finalize TU data for Location Assignment
sap.tm.trp.service::GetSuggestedLocationForTU,E,Privilege for get suggested location or date for a TU
sap.tm.trp.service::FinalizeScenario,E,Privilege for finalizing scenario
sap.tm.trp.service::ProposeActivities,E,Privilege for proposing activities
sap.tm.trp.service::DataArchiveRuleExecution,E,Privilege for Data archive Rule Execution
