EML,E,EML,Enzyme Units / Milliliter
F,E,F,Farad
FA,E,°F,Fahrenheit
FT,E,FT,Foot
FT2,E,FT2,Square foot
G,E,G,Gram
CD,E,CD,Candela
CDM,E,CD3,Cubic decimeter
CM,E,CM,Centimeter
CM2,E,CM2,Square centimeter
bft,E,bft,British Thermal Unit/Cubic Ft
C56,E,NMM,Newton/Square millimeter
CCK,E,002,
KI,E,CRT,Crate
KJ,E,KJ,Kilojoule
KJK,E,KJK,Kilojoule/kilogram
KAN,E,CAN,Canister
KOH,E,KOH,Kiloohm
KPA,E,KPA,Kilopascal
KT,E,KT,Kilotonne
KV,E,KV,Kilovolt
10,E,D,Days
MW,E,MW,Milliwatt
mbt,E,mbt,Million BTU/US Tonne
tbl,E,tbl,Tonne/US Barrel
tbt,E,tbt,Tonne/British Thermal Unit
M%O,E,M%O,Permille mass
tgl,E,tgl,US Tonne/US Gallon
CS,E,CV,Case
G/L,E,G/L,gram act.ingrd / liter
MMH,E,MMH,Millimeter/hour
MMK,E,MMK,Millimol/kilogram
TM3,E,TM3,1/cubic meter
BQK,E,BQK,Becquerel/kilogram
C10,E,RF,Millifarad
C36,E,M/M,Mol per cubic meter
C38,E,M/L,Mol per liter
LE,E,AU,Activity unit
NM,E,NM,Newton/meter
GAU,E,GAU,Gram Gold
GC,E,°C,Degrees Celsius
GHG,E,GHG,Gram/hectogram
GJ,E,GJ,Gigajoule
CMH,E,CMH,Centimeter/hour
KW,E,KW,Kilowatt
gjt,E,gjt,Gigajoule/US Tonne
jm3,E,jm3,Joule/Cubic Meter
kgb,E,kgb,Kilogram/US Barrel
KGK,E,KGK,Kilogram/Kilogram
HZ,E,HZ,Hertz (1/second)
IN,E,\,Inch
IN2,E,\2,Square inch
IN3,E,\3,Cubic inch
J,E,J,Joule
M3D,E,M3D,Cubic meter/day
M3S,E,M3S,Cubic meter/second
MA,E,MA,Milliampere
MBA,E,MBA,Millibar
KMS,E,KMS,Kelvin/Second
MMO,E,MMO,Millimol
GM,E,GM,Gram/Mol
LMS,E,LMS,Liter/Molsecond
LPH,E,LPH,Liter per hour
M,E,M,Meter
M%,E,M%,Percent mass
MWH,E,MWH,Megawatt hour
KWH,E,KWH,Kilowatt hours
KWK,E,KIK,kg act.ingrd. / kg
L,E,L,Liter
LHK,E,LHK,Liter per 100 km
%O,E,%O,Per mille
B34,E,KD3,Kilogram/cubic decimeter
PAL,E,PAL,Pallet
B47,E,NI,Kilonewton
B73,E,MN,Meganewton
B75,E,MGO,Megohm
MBZ,E,MBZ,Meterbar/second
KAR,E,CAR,Carton
KBK,E,KBK,Kilobecquerel/kilogram
KG,E,KG,Kilogram
KGF,E,KGF,Kilogram/Square meter
