TIME_ZONE_CODE;LANG_CODE;DESC
Pacific/Midway;E;Coordinated Universal Time-11
US/Aleutian;E;Aleutian Islands
Pacific/Honolulu;E;Hawaii
Pacific/Marquesas;E;Marquesas Islands
Pacific/Gambier;E;Coordinated Universal Time-09
America/Juneau;E;Alaska
America/Tijuana;E;Baja California
America/Los_Angeles;E;Pacific Time (US and Canada)
Pacific/Pitcairn;E;Coordinated Universal Time-08
America/Denver;E;Mountain Time (US and Canada)
America/Chihuahua;E;Chihuahua, La Paz, Mazatlan
America/Phoenix;E;Arizona
Chile/EasterIsland;E;Easter Island
America/Chicago;E;Central America, Central Time (US and Canada)
Canada/Saskatchewan;E;Saskatchewan
America/Mexico_City;E;Guadalajara, Mexico City, Monterrey
America/New_York;E;Chetumal, Haiti, Turks and Caicos, Eastern Time (US and Canada)
America/Havana;E;Havana
America/Indiana/Indianapolis;E;Indiana (East)
America/Lima;E;Bogota, Lima, Quito, Rio Branco
America/Caracas;E;Caracas
America/Santiago;E;Atlantic Time (Canada), Santiago
America/Asuncion;E;Asuncion
America/Cuiaba;E;Cuiaba
America/La_Paz;E;Georgetown, La Paz, Manaus, San Juan
America/St_Johns;E;Newfoundland
America/Araguaina;E;Araguaina
America/Montevideo;E;Montevideo
America/Argentina/Buenos_Aires;E;City of Buenos Aires
America/Fortaleza;E;Cayenna, Fortaleza
America/Punta_Arenas;E;Punta Arenas
America/Miquelon;E;Saint Pierre and Miquelon, Greenland
America/El_Salvador;E;Salvador, Brasilia
America/Noronha;E;Coordinated Universal Time-02
Atlantic/Azores;E;Azores
Atlantic/Cape_Verde;E;Cabo Verde Islands
Europe/London;E;Dublin, Edinburgh, Lisbon, London
Africa/Sao_Tome;E;Sao Tome
Africa/Monrovia;E;Monrovia, Reykjavik
UTC;E;Coordinated Universal Time
Africa/Casablanca;E;Casablanca
Europe/Belgrade;E;Belgrade, Bratislava, Budapest, Ljubljana, Prague
Europe/Zagreb;E;Sarajevo, Skopje, Warsaw, Zagreb
Europe/Paris;E;Brussels, Copenhagen, Madrid, Paris
Europe/Berlin;E;Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna
Africa/Brazzaville;E;West Central Africa
Europe/Kaliningrad;E;Kaliningrad
Africa/Khartoum;E;Khartoum
Africa/Tripoli;E;Tripoli
Asia/Beirut;E;Beirut
Asia/Amman;E;Amman
Africa/Windhoek;E;Windhoek
Africa/Cairo;E;Cairo
Europe/Helsinki;E;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
Europe/Athens;E;Athens, Bucharest
Asia/Jerusalem;E;Jerusalem
Africa/Harare;E;Harare, Pretoria
Europe/Chisinau;E;Chisinau
Asia/Damascus;E;Damascus
Asia/Gaza;E;Gaza, Hebron
Europe/Moscow;E;Moscow, St. Petersburg
Europe/Minsk;E;Minsk
Asia/Istanbul;E;Istanbul
Asia/Kuwait;E;Kuwait, Riyadh
Africa/Nairobi;E;Nairobi
Asia/Baghdad;E;Baghdad
Asia/Tehran;E;Tehran
Europe/Volgograd;E;Volgograd
Europe/Astrakhan;E;Astrakhan, Ulyanovsk
Europe/Samara;E;Izhevsk, Samara
Europe/Saratov;E;Saratov
Asia/Yerevan;E;Yerevan
Indian/Mauritius;E;Port Louis
Asia/Muscat;E;Abu Dhabi, Muscat
Asia/Baku;E;Baku
Asia/Tbilisi;E;Tbilisi
Asia/Kabul;E;Kabul
Asia/Karachi;E;Islamabad, Karachi
Asia/Qyzylorda;E;Qyzylorda
Asia/Yekaterinburg;E;Ekaterinburg
Asia/Tashkent;E;Ashgabat, Tashkent
Asia/Kolkata;E;Chennai, Kolkata, Mumbai, New Delhi, Sri Jayawardenepura
Asia/Kathmandu;E;Kathmandu
Asia/Dhaka;E;Dhaka, Astana
Asia/Omsk;E;Omsk
Asia/Rangoon;E;Yangon (Rangoon)
Asia/Barnaul;E;Barnaul, Gorno-Altaysk
Asia/Hovd;E;Hovd
Asia/Novosibirsk;E;Novosibirsk
Asia/Tomsk;E;Tomsk
Asia/Bangkok;E;Bangkok, Hanoi, Jakarta
Asia/Krasnoyarsk;E;Krasnoyarsk
Asia/Beijing;E;Beijing, Chongqing, Hong Kong, Urumqi
Asia/Singapore;E;Kuala Lumpur, Singapore
Asia/Taipei;E;Taipei
Australia/Perth;E;Perth
Asia/Ulaanbaatar;E;Ulaanbaatar
Asia/Irkutsk;E;Irkutsk
Australia/Eucla;E;Eucla
Asia/Chita;E;Chita
Asia/Pyongyang;E;Pyongyang
Asia/Seoul;E;Seoul
Asia/Tokyo;E;Osaka, Sapporo, Tokyo
Asia/Yakutsk;E;Yakutsk
Australia/Darwin;E;Darwin
Australia/Adelaide;E;Adelaide
Australia/Sydney;E;Canberra, Melbourne, Sydney
Australia/Brisbane;E;Brisbane
Australia/Hobart;E;Hobart
Asia/Vladivostok;E;Vladivostok
Pacific/Guam;E;Guam, Port Moresby
Australia/Lord_Howe;E;Lord Howe Island
Pacific/Bougainville;E;Bougainville Island
Pacific/Norfolk;E;Norfolk Island
Asia/Sakhalin;E;Sakhalin
Asia/Magadan;E;Magadan, Solomon Islands, New Caledonia, Chokurdakh
Pacific/Fiji;E;Fiji
Asia/Kamchatka;E;Petropavlovsk-Kamchatsky
Asia/Anadyr;E;Coordinated Universal Time+12, Anadyr
Pacific/Auckland;E;Auckland, Wellington
Pacific/Chatham;E;Chatham Island
Pacific/Tongatapu;E;Coordinated Universal Time+13, Nuku'alofa
Pacific/Samoa;E;Samoa
Pacific/Kiritimati;E;Kiritimati Island
